Tiêu chí Đánh giá,BM25-D (Truyền thống),BERT-D (Học sâu),GeoBloom (Đề xuất - v19)
Inference_Time_Seconds,18072.20,1033.29,105.634
Inference_QPS,0.673,11.765,115.086
Dung lượng Ổ cứng (Disk)-MB,-,-,22.5
Recall@20,0.4958,0.1793,0.7879
Recall@10,0.4253,0.1472,0.7326
NDCG@1,0.2107,0.0518,0.4212
NDCG@5,0.2904,0.0846,0.5505
Tỷ lệ Success (%),21.07%,5.18%,23.68%
Tỷ lệ Tiệm cận (%),28.52%,12.75%,29.32%
Tỷ lệ Fail (%),50.42%,82.07%,47.00%
Sai số trung bình (m),12148,11895,11610
Sai số trung vị (m),907,914,912
