Query: 4号大街与9号大街交叉口西侧盛泰北(2门), Truth: 盛泰·时代山(北2门),通行设施,临街院门,临街院正门,4号大街189号,江干区, Distance: 664
	- POI: 4号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 641
	- POI: 8号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 77
	- POI: 6号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 149
	- POI: 24号大街与29号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3651
	- POI: 2号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1077
	- POI: 14号大街与19号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1797
	- POI: 11号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 458
	- POI: 公建北区2号路与4号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 656
	- POI: 公建北区1号路与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 868
	- POI: 12号大街与19号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1287
	- POI: 12号大街与19号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1373
	- POI: 12号大街与19号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 1496
	- POI: 14号大街与21号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 2135
	- POI: 14号大街与23号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 2529
	- POI: 14号大街与23号大街交叉口,交通设施服务,交通服务相关,交通服务相关,世茂广场2幢3单元,江干区, Distance: 2670
	- POI: 22号大街与29号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3323
	- POI: 西部生活区南区4号路与5号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 660
	- POI: 24号大街与27号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 3620
	- POI: 白杨街与4号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 707
	- POI: 杭州诺金纺织化工有限公司(正门),通行设施,通行设施,通行设施,9号大街附近,江干区, Distance: 1
Query: 紫丁香街向南物美超市, Truth: 物美大卖场(丁桥店),购物服务,超级市场,超市,惠兰雅路572号B1层,江干区, Distance: 603
	- POI: 世纪华联超市(紫丁香街),购物服务,超级市场,超市,紫丁香街199号,江干区, Distance: 525
	- POI: 杭州华联(紫丁香街店),购物服务,超级市场,超市,紫丁香街242-244号,江干区, Distance: 487
	- POI: 居美门窗(紫丁香街),购物服务,家居建材市场,建材五金市场,紫丁香街277号,江干区, Distance: 516
	- POI: 印尚美容美发(紫丁香街分店),生活服务,美容美发店,美容美发店,紫丁香街276-280号,江干区, Distance: 486
	- POI: 宠爱宠物生活馆(紫丁香街),购物服务,专卖店,宠物用品店,丁桥紫丁香街271号,江干区, Distance: 514
	- POI: 安琪(紫丁香街),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,紫丁香街217-219号,江干区, Distance: 515
	- POI: 伴家猫居家休闲良品(紫丁香街),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,丁桥镇紫丁香街132号,江干区, Distance: 546
	- POI: 百果园(紫丁香街店),购物服务,综合市场,果品市场,丁桥镇紫丁香街102号,江干区, Distance: 580
	- POI: 嘿客(紫丁香街店),购物服务,购物相关场所,购物相关场所,丁桥镇紫丁香街102号,江干区, Distance: 581
